"name","lat","lon","points_extract"
"aspera",3.883333,-58.916667,82
"aspera",3.88,-58.91,81
"aspera",3.88,-58.92,82
"aspera",3.37,-61.42,103
"aspera",-12.5,-64.133333,135
"aspera",-10.73,-65.25,182
"aspera",5.6,-57.58,17
"aspera",5.6,-57.583333,17
"aspera",5.6,-57.58,17
"aspera",-10.733333,-65.25,182
"aspera",-12.45,-67.616667,181
"aspera",-12.45,-67.62,181
"aspera",-1.5,-60.67,66
"aspera",4.1642,-60.58,113
"aspera",2.883333,-54.07,189
"aspera",1.3,-60.58,77
"aspera",1.3,-60.58333,77
"aspera",0.3,-60.583333,75
"aspera",2.88,-54.06,189
"aspera",2.883333,-54.066667,189
"aspera",1.289304,-60.542693,80
"aspera",2.6,-54.01667,187
"aspera",2.88333,-54.06667,189
"aspera",-10.733333,-65.25,182
"aspera",-10.73333,-65.25,182
"aspera",-1.083333,-53.17,147
"aspera",-0.183333,-50.733333,10
"aspera",-3.03,-60.58,14
"aspera",-1.08,-53.17,147
"aspera",-3.033333,-60.583333,14
"aspera",-1.05,-52.7,124
"aspera",-3.033333,-60.583333,14
"aspera",-3.03,-60.58,14
"aspera",3.61666,-53.2,232
"aspera",3.61,-53.2,232
"aspera",3.62,-53.2,232
"aspera",3.61667,-53.2,232
"aspera",3.61667,-53.2,232
"aspera",-2.666667,-60.33,31
"aspera",-2.67,-60.33,31
"aspera",-2.666667,-60.333333,31
"aspera",4.66666,-61.55,961
"aspera",5.71666,-57.53333,18
"aspera",5.72,-57.53,18
"aspera",5.72,-57.53,18
"aspera",5.6,-57.58,17
"aspera",5.6,-57.58333,17
"aspera",3.1,-59.4,397
"aspera",3.1,-59.4,397
"aspera",5.3,-69.01666,90
"aspera",4.91667,-52.5,21
"aspera",5.3,-68.016667,95
"aspera",-0.516667,-76.4,253
"aspera",-3.033333,-60.583333,14
"aspera",-3.033333,-60.583333,14
"aspera",-0.72,-52.52,36
"aspera",4.5,-61.58333,862
"aspera",4.5,-61.5,984
"aspera",0.616667,-53.2,260
"aspera",1.65317,-61.056497,72
