"specificEpithet","day","month","year","lat","lon"
"aspera",20,4,1978,5.85,-67.41666
"aspera",1,5,1978,14.1,-83.583333
"aspera",29,5,1978,4.05,-66.81
"aspera",31,5,1978,4.05,-66.82
"aspera",29,5,1978,4.05,-66.82
"aspera",11,6,1978,14.05,-83.4
"aspera",14,6,1978,14.39166,-83.69166
"aspera",9,7,1978,-2.23446332059816,-45.2999885675045
"aspera",6,10,1978,14.166667,-83.5
"aspera",13,11,1978,5.8,-67.33
"aspera",17,12,1978,4.33,-61.8
"aspera",NA,12,1978,3.75,-67.066667
"aspera",1,12,1978,-1.66664444855463,-45.3719930444323
"aspera",19,1,1977,-1.15526681981842,-48.1298676975265
"aspera",18,1,1977,-0.861649885008358,-48.1421684328451
"aspera",4,7,1977,4.96,-52.46
"aspera",15,10,1977,3.08205,-60.346275
"aspera",27,10,1977,9.13333,-62.83333
"aspera",28,11,1977,4.4881,-61.1489
"aspera",NA,NA,1977,9.13333,-62.83333
