"name","lat","lon","identifiedBy","splink_ident_extract"
"llanorum",-13.08333,-67.25,"J.j. Wurdack",165
"llanorum",9.30833,-69.7,"Carol A. Todzia",478
"llanorum",5.53,-65.95,"Todzia, C. A., (TEX), University of Texas Austin",118
"llanorum",6.44,-67.12,"Todzia, C. A., (TEX), University of Texas Austin",85
"llanorum",-13.6,-61,"J. Wurdack",178
"mathaei",-6.08333,-77.15,"Carol A. Todzia (TEX)",821
"melastomoides",-12.348,-46.338,"Freitas, A.L.",783
"melastomoides",-16.403053,-49.252211,"Meyer, FS",913
"melastomoides",-13.65,-47.819167,"Freitas-Oliveira, AL; Rodrigues, JL",821
"melastomoides",-14.120864,-47.653017,"Meyer, FS",1248
"melastomoides",-14.179722,-47.842222,"Paulo Guimar„es",858
"melastomoides",-14.185556,-47.626944,"Meyer, FS",1224
"melastomoides",-15.798889,-48.818611,"Romero, R",1178
"melastomoides",-15.798889,-48.818611,"Romero, R.",1178
"melastomoides",-14.235278,-47.905833,"Freitas, A.L.",654
"melastomoides",-13.823083,-47.457639,"Guimar„es, PJF",806
"melastomoides",-13.3775,-48.050277,"A. L. Freitas",393
"melastomoides",-13.3775,-48.050278,"Freitas, A.L.",393
"melastomoides",-10.55,-46.75,"Guimar„es, PJF",413
"melastomoides",-7.357222,-48.372222,"P. Guimar„es",230
"melastomoides",-13.71889,-48.29944,"P. J. F. Guimar„es",854
"melastomoides",-14.488611,-48.557222,"Ana Luiza Freitas Oliveira",595
"melastomoides",-14.161111,-47.790833,"Freitas, AL",1100
"melastomoides",-13.966667,-48.3,"Meyer, FS",443
"melastomoides",-13.662222,-48.268055,"P. J. F. Guimar„es",741
"melastomoides",-10.283333,-48.216667,"Guimar„es, P",427
"melastomoides",-14.35,-48.2,"P. J. F. Guimar„es",470
"melastomoides",-14.63333,-48.96667,"P. J. F. Guimar„es",469
"melastomoides",-14.45,-49.08333,"P. J. F. Guimar„es",512
"melastomoides",-14.36667,-48.2,"P. J. F. Guimar„es",470
"melastomoides",-15.55,-48.25,"P. J. F. Guimar„es",1273
"melastomoides",-13.566666,-48.166667,"P. J. F. Guimar„es",406
"melastomoides",-14.32,-48.4,"Meyer, F.S.",939
"melastomoides",-15.533333,-47.55,"Freitas, AL",1049
"melastomoides",-11.433333,-47.566667,"Ana Luiza Freitas Oliveira",514
"melastomoides",-13.7975,-47.4583,"Freitas, AL",806
"melastomoides",-13.86327,-47.5,"J. J. Wurdack",747
"melastomoides",-10.77306,-53.08972,"Todzia, C. A. (2002)",271
"nigricans",-14.131111,-47.669167,"Meyer, F.S.",1248
"nigricans",-14.143056,-47.703056,"Ana Luzia Freitas Oliveira",1248
"papyrus",-16.065858,-50.178486,"Meyer, FS",777
"papyrus",-16.035709,-50.104255,"Meyer, F.S.",724
"papyrus",-15.8025,-48.847222,"Freitas, AL",1205
"papyrus",-16.1306220867293,-50.2156233906965,"V. L. Gomes-Klein; E. F. Guimar„es",580
"papyrus",-15.95,-50.033333,"Wurdack, JJ",837
"papyrus",-15.95,-50.03,"P. J. F. Guimar„es",837
"papyrus",-15.95,-50.03,"Guimar„es, P.J.F.",837
"papyrus",-14.159167,-47.785278,"Freitas, AL",1100
"papyrus",-15.85,-48.78195,"C. A. Todzia",1051
