"specificEpithet","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aegopogon",4,2,1987,-16.766667,-47.616667,"60625","USP","spLink"
"aegopogon",30,11,1988,-14.13249969,-47.50999832,"62702","USP","spLink"
"aegopogon",12,1,1994,-20.267222,-46.415556,"92543","USP","spLink"
"aegopogon",27,2,2000,-20.34390068,-46.85390091,"191604","USP","spLink"
"aegopogon",24,3,2012,-13.9295,-47.4305,"208876","USP","spLink"
"aegopogon",13,11,1990,-15.75,-48.3,NA,NA,"reflora"
"aegopogon",6,12,1994,-20.2452777777778,-46.3658333333333,NA,NA,"reflora"
"aegopogon",2,12,1968,-16,-49,NA,NA,"reflora"
"aegopogon",2,12,1965,-16,-49,NA,NA,"reflora"
"aegopogon",21,12,1974,-17.8,-48.75,NA,NA,"reflora"
"aegopogon",6,3,2015,-11.6941666666667,-47.7008333333333,NA,NA,"reflora"
"aegopogon",20,1,2002,-1.74194444444444,-4.77888888888889,NA,NA,"reflora"
"aegopogon",5,3,2015,-11,-47,NA,NA,"reflora"
"aegopogon",12,1,1994,-2.02611111111111,-4.64111111111111,NA,NA,"reflora"
"aegopogon",20,2,2003,-18.04,-47.1619444444444,NA,NA,"reflora"
"aegopogon",21,3,2012,-14.2194444444444,-47.7372222222222,NA,NA,"reflora"
"aegopogon",9,3,1992,-13.4666666666667,-48.3833333333333,NA,NA,"reflora"
"aegopogon",29,11,2003,-2.04305555555556,-4.665,NA,NA,"reflora"
"aegopogon",19,1,2015,-19.6827777777778,-46.445,NA,NA,"reflora"
"aegopogon",24,3,2012,-13.9294444444444,-47.4302777777778,NA,NA,"reflora"
"aegopogon",5,12,2002,-20.2005555555556,-46.4847222222222,NA,NA,"reflora"
"aegopogon",24,3,2012,-139.295,-474.305,NA,NA,"reflora"
"aegopogon",8,2,1987,-1.37305555555556,-47.25,NA,NA,"reflora"
"aegopogon",5,12,2002,-20.2602777777778,-46.3872222222222,NA,NA,"reflora"
"aegopogon",6,12,2002,-20.2033333333333,-46.4602777777778,NA,NA,"reflora"
"aegopogon",4,2,1987,-1.67611111111111,-4.76111111111111,NA,NA,"reflora"
"aegopogon",17,3,2012,-16.4758333333333,-47.3405555555556,NA,NA,"reflora"
"aegopogon",8,4,2010,-18.3641666666667,-48.1816666666667,NA,NA,"reflora"
